repo,commit,date,dependency,old_version,new_version,file,usage_changed,usage_details,syntactic_break,syntactic_details,semantic_change,semantic_details,commit_message,response_type
repos\oshdb,f42ccd857a4b4c1465eaf04431b6b8a58d30262a,2017-09-28 14:46:11+02:00,org.slf4j:slf4j-log4j12,1.7.5,1.7.25,TagTranslator.java,False,None,False,None,True,Logic changed,impove log output of tag translator error cases,Bug Fix
repos\oshdb,1dcd83ab0710beef0650918556201c562cb4caa8,2019-10-25 15:13:58+02:00,org.roaringbitmap:RoaringBitmap,0.6.59,${roaringbitmap.version},Kernels.java,True,"Removed: {'collect', 'toList'}, Added: {'stream'}",False,None,True,Logic changed,improve streaming behavior of affinity call backend (#200),Other
repos\oshdb,1dcd83ab0710beef0650918556201c562cb4caa8,2019-10-25 15:13:58+02:00,org.roaringbitmap:RoaringBitmap,0.6.59,${roaringbitmap.version},MapReducerIgniteAffinityCall.java,True,"Removed: set(), Added: {'toList', 'concat', 'boxed', 'broadcastAsync', 'findAny', 'collect', 'empty'}",False,None,True,Logic changed,improve streaming behavior of affinity call backend (#200),Other
repos\oshdb,1dcd83ab0710beef0650918556201c562cb4caa8,2019-10-25 15:13:58+02:00,org.roaringbitmap:RoaringBitmap,0.6.59,${roaringbitmap.version},MapReducerJdbcMultithread.java,False,None,False,None,True,Logic changed,improve streaming behavior of affinity call backend (#200),Other
repos\oshdb,1dcd83ab0710beef0650918556201c562cb4caa8,2019-10-25 15:13:58+02:00,org.roaringbitmap:RoaringBitmap,0.6.59,${roaringbitmap.version},MapReducerJdbcSinglethread.java,True,"Removed: {'map'}, Added: set()",False,None,True,Logic changed,improve streaming behavior of affinity call backend (#200),Other
repos\oshdb,815586043c07c3b670d592b9925ae34f3d26f619,2020-11-09 13:58:32+01:00,org.heigit.ohsome:ohsome-filter,1.2.0,1.3.0,MapReducer.java,False,None,False,None,True,Logic changed,upgrade to ohsome-filter version 1.3.0,Dependency Update
repos\oshdb,71e67e26798cceb6d34d5205a844f9aa9fa8e226,2020-11-09 13:58:32+01:00,org.heigit.ohsome:ohsome-filter,1.3.0,1.4-SNAPSHOT,MapReducer.java,True,"Removed: {'getGeometryAfter', 'getGeometry', 'hasGeometryTypeFilter', 'getGeometryBefore'}, Added: set()",True,Removed methods: {'hasGeometryTypeFilter'},True,Logic changed,upgrade to ohsome-filter v1.4,Dependency Update
repos\oshdb,2cd9933f4bf2c6cadd05621838fb62be9000cf25,2021-05-17 16:39:25+02:00,org.openstreetmap.pbf:osmpbf,1.5.0,${osmpbf.version},OSHNodeImpl.java,False,None,False,None,True,Logic changed,review proposals,Other
repos\oshdb,2cd9933f4bf2c6cadd05621838fb62be9000cf25,2021-05-17 16:39:25+02:00,org.openstreetmap.pbf:osmpbf,1.5.0,${osmpbf.version},OSHRelationImpl.java,False,None,False,None,True,Logic changed,review proposals,Other
repos\oshdb,2cd9933f4bf2c6cadd05621838fb62be9000cf25,2021-05-17 16:39:25+02:00,org.openstreetmap.pbf:osmpbf,1.5.0,${osmpbf.version},OSHWayImpl.java,False,None,False,None,True,Logic changed,review proposals,Other
repos\oshdb,2cd9933f4bf2c6cadd05621838fb62be9000cf25,2021-05-17 16:39:25+02:00,org.openstreetmap.pbf:osmpbf,1.5.0,${osmpbf.version},ByteArrayOutputWrapper.java,False,None,False,None,True,Logic changed,review proposals,Other
repos\oshdb,2cd9933f4bf2c6cadd05621838fb62be9000cf25,2021-05-17 16:39:25+02:00,org.openstreetmap.pbf:osmpbf,1.5.0,${osmpbf.version},ByteArrayWrapper.java,False,None,False,None,True,Logic changed,review proposals,Other
