repo,commit,date,dependency,old_version,new_version,file,usage_changed,usage_details,syntactic_break,syntactic_details,semantic_change,semantic_details,commit_message,response_type
repos\tutorials,4d4328da8be9760011c6d784b7576bc57d81089a,2019-12-22 18:50:33+05:30,org.springframework.boot:spring-boot-dependencies,2.2.0.M4,2.2.2.RELEASE,PlayerRepository.java,False,None,False,None,True,Logic changed,BAEL-19376 Do we have any Spring Milestone/RC repos defined?,Bug Fix
repos\tutorials,4d4328da8be9760011c6d784b7576bc57d81089a,2019-12-22 18:50:33+05:30,org.springframework.boot:spring-boot-dependencies,2.2.0.M4,2.2.2.RELEASE,R2dbcApplicationIntegrationTest.java,True,"Removed: {'sql'}, Added: set()",False,None,True,Logic changed,BAEL-19376 Do we have any Spring Milestone/RC repos defined?,Bug Fix
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.apache.derby:derby,10.14.2.0,${version.derby},ApiApplication.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,jakarta.platform:jakarta.jakartaee-web-api,8.0.0,${version.jakarta.jakartaee-web-api},ApiApplication.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.eclipse.microprofile:microprofile,3.0,${version.microprofile},ApiApplication.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.apache.cxf:cxf-rt-rs-client,3.3.4,${version.cxf-rt-rs-client},ApiApplication.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.glassfish:javax.json,1.1.4,${version.javax.json},ApiApplication.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.apache.derby:derby,10.14.2.0,${version.derby},AppServlet.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,jakarta.platform:jakarta.jakartaee-web-api,8.0.0,${version.jakarta.jakartaee-web-api},AppServlet.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.eclipse.microprofile:microprofile,3.0,${version.microprofile},AppServlet.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.apache.cxf:cxf-rt-rs-client,3.3.4,${version.cxf-rt-rs-client},AppServlet.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,6d517ce9fbb5332e6b3e0d3f83695173888da730,2020-01-17 15:55:22+02:00,org.glassfish:javax.json,1.1.4,${version.javax.json},AppServlet.java,False,None,False,None,True,Logic changed,"Open Liberty with Servlet, Rest, Consume rest using json-b, microprofile",Other
repos\tutorials,a1837550e83c26bbcf3ea754732404c2955ee8ef,2020-01-27 20:40:24+02:00,org.junit.platform:junit-platform-launcher,${junit-platform.version},1.6.0,MongoDBConfiguration.java,False,None,False,None,True,Logic changed,BAEL-3777: First setup,Other
repos\tutorials,a1837550e83c26bbcf3ea754732404c2955ee8ef,2020-01-27 20:40:24+02:00,org.junit.platform:junit-platform-launcher,${junit-platform.version},1.6.0,MongoDbOrderRepository.java,False,None,False,None,True,Logic changed,BAEL-3777: First setup,Other
repos\tutorials,a1837550e83c26bbcf3ea754732404c2955ee8ef,2020-01-27 20:40:24+02:00,org.junit.platform:junit-platform-launcher,${junit-platform.version},1.6.0,SpringDataMongoOrderRepository.java,False,None,False,None,True,Logic changed,BAEL-3777: First setup,Other
repos\tutorials,a1837550e83c26bbcf3ea754732404c2955ee8ef,2020-01-27 20:40:24+02:00,org.junit.platform:junit-platform-launcher,${junit-platform.version},1.6.0,MongoDbOrderRepositoryUnitTest.java,False,None,False,None,True,Logic changed,BAEL-3777: First setup,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesApp.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesContact.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesCreateUser.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesHelloWorld.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesIndex.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,10ae695227a31924180f496e59565b83250f315d,2020-02-22 16:19:02+02:00,org.apache.velocity:velocity-engine-core,2.0,2.2,TakesReadUser.java,False,None,False,None,True,Logic changed,Code changes,Other
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.takes:takes,1.19,${takes.version},TakesApp.java,True,"Removed: {'getConnection', 'setJdbcUrl', 'setPassword', 'dbConnection', 'setUsername'}, Added: set()",True,Removed methods: {'dbConnection'},True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.apache.velocity:velocity-engine-core,2.2,${velocity-engine-core.version},TakesApp.java,True,"Removed: {'getConnection', 'setJdbcUrl', 'setPassword', 'dbConnection', 'setUsername'}, Added: set()",True,Removed methods: {'dbConnection'},True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.takes:takes,1.19,${takes.version},TakesContact.java,False,None,False,None,True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.apache.velocity:velocity-engine-core,2.2,${velocity-engine-core.version},TakesContact.java,False,None,False,None,True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.takes:takes,1.19,${takes.version},TakesIndex.java,True,"Removed: set(), Added: {'single'}",False,None,True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a099b358a77ac4328449da263acabbc8728b3ae2,2020-02-22 19:58:19+02:00,org.apache.velocity:velocity-engine-core,2.2,${velocity-engine-core.version},TakesIndex.java,True,"Removed: set(), Added: {'single'}",False,None,True,Logic changed,Takes - unit and integration test,Testing
repos\tutorials,a2488e4943f5eb219c7b42ee26ff11f4d7b51b10,2020-03-09 16:18:44+00:00,org.springdoc:springdoc-openapi-ui,1.1.49,${springdoc.version},BookController.java,False,None,False,None,True,Logic changed,Bael 3653: Adding Pageable Support (#8766),Dependency Update
repos\tutorials,a2488e4943f5eb219c7b42ee26ff11f4d7b51b10,2020-03-09 16:18:44+00:00,org.springdoc:springdoc-openapi-ui,1.1.49,${springdoc.version},BookRepository.java,True,"Removed: set(), Added: {'stream', 'getPageNumber', 'toList', 'limit', 'skip', 'size', 'collect', 'getPageSize'}",False,None,True,Logic changed,Bael 3653: Adding Pageable Support (#8766),Dependency Update
repos\tutorials,a65c5bf202c3326514e7d6c1408bd9e445c06fd9,2020-03-31 17:57:05+02:00,com.h2database:h2,1.4.197,${h2.version},OldSchoolDbUnitTest.java,True,"Removed: set(), Added: {'isEqualTo', 'assertThat', 'build'}",False,None,True,Logic changed,[BAEL-2749] Introduces Assertj and uses builder pattern,Build/CI
repos\tutorials,a65c5bf202c3326514e7d6c1408bd9e445c06fd9,2020-03-31 17:57:05+02:00,com.h2database:h2,1.4.197,${h2.version},PrepAndExpectedDbUnitTest.java,True,"Removed: {'assertEquals', 'assertTrue'}, Added: {'isTrue', 'assertThat', 'isEqualTo'}",False,None,True,Logic changed,[BAEL-2749] Introduces Assertj and uses builder pattern,Build/CI
repos\tutorials,0b1c5e01a5108350a493a06e07d2779a0b9e3f60,2020-03-31 20:18:11+02:00,org.assertj:assertj-core,${assertj.version},${assertj-core.version},DataSourceDBUnitTest.java,True,"Removed: set(), Added: {'error', 'getLogger'}",False,None,True,Logic changed,[BAEL-2749] Improves code and makes a copy in libraries-testing,Testing
repos\tutorials,0b1c5e01a5108350a493a06e07d2779a0b9e3f60,2020-03-31 20:18:11+02:00,org.assertj:assertj-core,${assertj.version},${assertj-core.version},DbUnitTest.java,False,None,False,None,True,Logic changed,[BAEL-2749] Improves code and makes a copy in libraries-testing,Testing
repos\tutorials,0b1c5e01a5108350a493a06e07d2779a0b9e3f60,2020-03-31 20:18:11+02:00,org.assertj:assertj-core,${assertj.version},${assertj-core.version},OldSchoolDbUnitTest.java,False,None,False,None,True,Logic changed,[BAEL-2749] Improves code and makes a copy in libraries-testing,Testing
repos\tutorials,0b1c5e01a5108350a493a06e07d2779a0b9e3f60,2020-03-31 20:18:11+02:00,org.assertj:assertj-core,${assertj.version},${assertj-core.version},PrepAndExpectedDbUnitTest.java,False,None,False,None,True,Logic changed,[BAEL-2749] Improves code and makes a copy in libraries-testing,Testing
repos\tutorials,62842f97cf2c1e1ce1ba94c5505d769acb0632a6,2020-04-23 13:10:29+05:30,org.springframework.data:spring-data-releasetrain,Hopper-SR10,Lovelace-SR16,DynamoDBConfig.java,False,None,True,Removed methods: {'mvcHandlerMappingIntrospector'},True,Logic changed,JAVA-923: Migrate spring-data-dynamodb to parent-boot-2,Migration
repos\tutorials,62842f97cf2c1e1ce1ba94c5505d769acb0632a6,2020-04-23 13:10:29+05:30,org.springframework.data:spring-data-releasetrain,Hopper-SR10,Lovelace-SR16,ProductInfoRepository.java,False,None,False,None,True,Logic changed,JAVA-923: Migrate spring-data-dynamodb to parent-boot-2,Migration
repos\tutorials,6f9e27dc5957a4a30549b8828d619ccda813e365,2020-05-19 19:24:29-04:00,org.locationtech.jts:jts-core,1.16.1,1.15.0,SpringContextManualTest.java,False,None,False,None,True,Logic changed,fixed most tests,Bug Fix
