Comparison,From JAR,To JAR,Category,Change Type,Severity,Class,Member,Old Value,New Value,Description
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleValidation(com.semantic.semantic_test.error.ValidationException),b0ba638b,ed1f274d,Implementation (bytecode) of 'handleValidation' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,<init>(),35a340b4,cccaf152,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleNotFound(com.semantic.semantic_test.error.QuoteNotFoundException),62eaf993,11306e8b,Implementation (bytecode) of 'handleNotFound' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/error/ApiExceptionHandler,handleUnexpected(java.lang.Exception),3c64fac5,894621e1,Implementation (bytecode) of 'handleUnexpected' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuotePricingEngine,"price(com.semantic.semantic_test.api.dto.CustomerTier,java.lang.String,java.lang.String,java.util.List)",b2366545,643336c6,Implementation (bytecode) of 'price' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_BODY_CHANGED,MEDIUM,com/semantic/semantic_test/service/QuotePricingEngine,<init>(),5ac988e2,57a1d4a3,Implementation (bytecode) of '<init>' changed.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,CLASS,CLASS_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,,<not present>,com/semantic/semantic_test/error/InvalidCouponException,New type 'com/semantic/semantic_test/error/InvalidCouponException' introduced.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,couponCode,<not present>,couponCode:java.lang.String,New field 'couponCode' in new class 'com/semantic/semantic_test/error/InvalidCouponException'.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,FIELD,FIELD_ADDED,INFO,com/semantic/semantic_test/error/InvalidCouponException,reason,<not present>,reason:java.lang.String,New field 'reason' in new class 'com/semantic/semantic_test/error/InvalidCouponException'.
semantic-app-commit-1  ->  semantic-app-commit-2,semantic-app-commit-1.jar,semantic-app-commit-2.jar,METHOD,METHOD_ADDED,INFO,com/semantic/semantic_test/error/ApiExceptionHandler,handleInvalidCoupon(com.semantic.semantic_test.error.InvalidCouponException),<not present>,handleInvalidCoupon(com.semantic.semantic_test.error.InvalidCouponException),Method 'handleInvalidCoupon' (com.semantic.semantic_test.error.InvalidCouponException) added to 'com/semantic/semantic_test/error/ApiExceptionHandler'.
